                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4013,                 3.0118,                 2.7006,                 1.5696,                 0.4445,                0.41651,                0.36659,                0.21136,                  0.432,                0.41796,                0.36123,                 0.2199,                 1.7819,                 3.4633,                 2.8325,                 2.0119,             0.00033232,             0.00033232,             0.00033232
                      2,                 1.4344,                 2.7853,                 2.0948,                 1.5832,                 0.3408,                0.37636,                0.33821,                0.19368,                0.34865,                0.38085,                0.33832,                0.19689,                 1.9452,                 3.6711,                 2.6244,                 2.1413,             0.00065247,             0.00065247,             0.00065247
                      3,                 1.4492,                 2.8302,                 2.0957,                 1.5989,                0.44751,                0.42817,                0.43208,                0.26088,                0.44975,                0.42661,                0.42464,                  0.265,                 1.8259,                 3.4414,                 2.5292,                 2.0604,             0.00095942,             0.00095942,             0.00095942
                      4,                 1.4052,                 2.7359,                 1.9973,                 1.5682,                0.38663,                0.50018,                 0.4217,                0.25864,                0.39201,                0.50067,                0.41901,                0.25188,                 1.7012,                 3.0241,                 2.4985,                 1.9154,              0.0009406,              0.0009406,              0.0009406
                      5,                  1.352,                 2.6356,                 1.9032,                  1.527,                0.52395,                0.55671,                0.52504,                0.35834,                0.50996,                0.55723,                0.51848,                0.35999,                 1.5262,                   2.77,                 2.0273,                  1.732,              0.0009406,              0.0009406,              0.0009406
                      6,                 1.2975,                 2.5182,                 1.7685,                 1.4837,                0.52118,                0.51693,                0.54016,                0.39289,                 0.5042,                0.53896,                0.52959,                0.39063,                 1.5003,                 2.7208,                 1.9405,                 1.6745,              0.0009208,              0.0009208,              0.0009208
                      7,                 1.2606,                 2.4678,                 1.7008,                 1.4579,                0.57076,                0.53024,                 0.5511,                0.38302,                0.58315,                0.53216,                0.55209,                0.37999,                 1.4749,                 2.6721,                 2.1047,                 1.6959,               0.000901,               0.000901,               0.000901
                      8,                 1.2283,                 2.3921,                 1.6521,                  1.438,                0.60571,                0.60833,                0.60304,                0.42961,                0.60706,                0.60761,                0.60651,                0.42599,                 1.4403,                 2.5923,                 1.8042,                 1.6236,              0.0008812,              0.0008812,              0.0008812
                      9,                 1.2003,                 2.3579,                 1.5918,                 1.4148,                0.56112,                0.62905,                0.60639,                0.43368,                 0.5581,                0.61591,                 0.5913,                0.43256,                 1.4733,                 2.5631,                 1.7867,                 1.6619,              0.0008614,              0.0008614,              0.0008614
                     10,                 1.1857,                 2.3123,                 1.5403,                 1.3948,                0.62678,                0.58447,                0.60569,                0.43128,                 0.6343,                0.58418,                0.60549,                0.44275,                  1.444,                 2.6485,                 1.7809,                 1.6378,              0.0008416,              0.0008416,              0.0008416
                     11,                 1.1558,                 2.2387,                 1.4891,                 1.3807,                0.62102,                0.61737,                0.62452,                 0.4553,                0.65096,                0.58338,                0.61801,                0.45663,                 1.4269,                 2.5709,                 1.6997,                 1.6176,              0.0008218,              0.0008218,              0.0008218
                     12,                 1.1451,                 2.2126,                 1.4443,                 1.3674,                0.62168,                0.57959,                 0.6153,                0.44888,                0.59772,                0.59473,                0.60721,                0.43964,                 1.3983,                  2.478,                 1.7345,                 1.5934,               0.000802,               0.000802,               0.000802
                     13,                  1.122,                 2.1619,                  1.399,                 1.3447,                0.64941,                0.62823,                0.64443,                0.46996,                0.64388,                0.63493,                0.63856,                0.46717,                 1.3601,                 2.4659,                 1.5913,                 1.5693,              0.0007822,              0.0007822,              0.0007822
                     14,                 1.0999,                 2.1237,                 1.3546,                 1.3231,                 0.6233,                0.61733,                0.63924,                0.46489,                0.60253,                0.62783,                0.63257,                0.46836,                 1.3783,                 2.4176,                  1.589,                 1.5658,              0.0007624,              0.0007624,              0.0007624
                     15,                  1.086,                 2.0874,                 1.3258,                 1.3243,                 0.6614,                0.62582,                0.64869,                0.47503,                0.64588,                0.62363,                0.63872,                0.46505,                 1.3726,                  2.431,                 1.5955,                 1.5707,              0.0007426,              0.0007426,              0.0007426
                     16,                   1.08,                 2.0643,                 1.3032,                  1.318,                0.63288,                0.64598,                0.66511,                0.49705,                0.62532,                 0.6378,                0.65192,                0.48646,                  1.354,                 2.3491,                 1.5297,                 1.5604,              0.0007228,              0.0007228,              0.0007228
                     17,                 1.0528,                 2.0067,                 1.2496,                 1.2933,                0.69101,                0.60013,                0.65781,                0.48265,                0.66858,                0.60821,                   0.65,                0.47408,                 1.3656,                 2.4555,                 1.5726,                 1.5753,               0.000703,               0.000703,               0.000703
                     18,                 1.0319,                 1.9781,                 1.2143,                 1.2763,                0.67392,                0.66462,                0.68656,                0.51506,                0.68353,                0.66077,                0.67966,                0.50466,                 1.3105,                 2.3171,                  1.456,                 1.4944,              0.0006832,              0.0006832,              0.0006832
                     19,                 1.0385,                 1.9696,                  1.199,                 1.2755,                0.68612,                0.61124,                0.65273,                 0.4958,                0.68405,                0.61587,                0.64956,                0.48499,                 1.3001,                 2.3338,                 1.4919,                 1.5066,              0.0006634,              0.0006634,              0.0006634
                     20,                 1.0149,                 1.9373,                 1.1858,                 1.2624,                0.71534,                0.64107,                0.68403,                 0.5041,                0.73256,                0.62135,                0.67483,                  0.495,                  1.334,                 2.3328,                  1.481,                 1.5392,              0.0006436,              0.0006436,              0.0006436
                     21,                 1.0094,                 1.9119,                 1.1473,                 1.2568,                0.66555,                0.67783,                0.68085,                0.51834,                0.66555,                0.67822,                0.67455,                0.50292,                 1.3112,                 2.2918,                 1.4535,                 1.5075,              0.0006238,              0.0006238,              0.0006238
                     22,                0.99409,                 1.8981,                 1.1299,                 1.2446,                0.69839,                 0.6623,                0.68657,                 0.5198,                0.68101,                0.66071,                 0.6753,                0.50801,                 1.2671,                 2.3009,                 1.3768,                   1.47,               0.000604,               0.000604,               0.000604
                     23,                0.97469,                 1.8601,                 1.1031,                 1.2335,                0.65863,                0.67982,                0.68917,                0.51807,                 0.6835,                0.66398,                0.68524,                0.50507,                 1.3053,                 2.3369,                 1.4281,                 1.5153,              0.0005842,              0.0005842,              0.0005842
                     24,                 0.9734,                 1.8314,                 1.0692,                 1.2316,                0.71929,                 0.6654,                0.68927,                0.51948,                0.71814,                0.66514,                0.68266,                0.50534,                 1.3192,                   2.31,                 1.3961,                 1.5024,              0.0005644,              0.0005644,              0.0005644
                     25,                0.96419,                 1.8231,                 1.0335,                 1.2165,                0.66945,                0.65892,                0.68032,                0.52136,                0.69262,                0.65409,                0.68294,                0.50936,                 1.2835,                  2.303,                 1.4488,                 1.4809,              0.0005446,              0.0005446,              0.0005446
                     26,                0.94193,                 1.7853,                 1.0155,                 1.2048,                0.71746,                0.63606,                0.68118,                  0.525,                0.72304,                0.64067,                0.67749,                0.50987,                 1.3074,                 2.3781,                 1.4339,                 1.4981,              0.0005248,              0.0005248,              0.0005248
                     27,                0.93735,                 1.7716,                 1.0022,                 1.2015,                0.69905,                0.67427,                0.69574,                 0.5271,                0.70108,                0.67381,                0.69214,                0.51984,                  1.282,                 2.2383,                 1.3683,                 1.4874,               0.000505,               0.000505,               0.000505
                     28,                0.92013,                 1.7343,                0.96188,                 1.1871,                0.72599,                0.68171,                0.71056,                0.53711,                0.72325,                0.67959,                0.70349,                0.52678,                  1.286,                 2.2335,                 1.3454,                 1.4765,              0.0004852,              0.0004852,              0.0004852
                     29,                 0.9157,                 1.7237,                 0.9535,                 1.1831,                0.71502,                0.67777,                0.70637,                0.53616,                0.71589,                0.67914,                0.69987,                0.52201,                 1.2892,                  2.283,                 1.3466,                 1.4835,              0.0004654,              0.0004654,              0.0004654
                     30,                0.90495,                 1.7174,                0.93266,                 1.1807,                0.69185,                  0.684,                0.69701,                0.52757,                 0.7407,                0.65967,                0.69563,                0.51414,                 1.2917,                 2.3159,                 1.3751,                 1.4915,              0.0004456,              0.0004456,              0.0004456
                     31,                0.88877,                 1.6756,                0.91236,                 1.1669,                0.69891,                0.67346,                0.70402,                0.53349,                0.71207,                0.66439,                0.69555,                0.52183,                 1.2802,                 2.2704,                 1.3714,                 1.4804,              0.0004258,              0.0004258,              0.0004258
                     32,                0.88758,                 1.6931,                0.89691,                 1.1676,                0.71278,                0.67786,                 0.7061,                0.54639,                0.72427,                0.68772,                0.70757,                0.52692,                 1.2703,                 2.3004,                 1.3081,                 1.4629,               0.000406,               0.000406,               0.000406
                     33,                0.87199,                 1.6323,                0.86236,                 1.1499,                0.73134,                0.68306,                0.70892,                 0.5397,                0.72082,                0.68373,                0.69916,                0.52429,                 1.2982,                 2.2677,                 1.3245,                 1.4958,              0.0003862,              0.0003862,              0.0003862
                     34,                0.86556,                 1.6479,                0.86108,                 1.1492,                0.74007,                0.68067,                0.71436,                0.54119,                0.75149,                0.68474,                 0.7173,                0.52382,                 1.2731,                 2.3126,                 1.3266,                 1.4814,              0.0003664,              0.0003664,              0.0003664
                     35,                0.86205,                 1.6145,                0.84544,                 1.1435,                0.72763,                0.70396,                0.72508,                0.55113,                 0.7439,                0.69444,                0.71737,                0.53612,                 1.2847,                 2.2721,                 1.3093,                 1.4981,              0.0003466,              0.0003466,              0.0003466
                     36,                0.85353,                  1.606,                0.82057,                 1.1426,                0.72517,                0.69553,                 0.7161,                0.55225,                 0.7282,                0.69544,                0.71213,                0.53413,                 1.2917,                 2.2568,                 1.3181,                 1.4931,              0.0003268,              0.0003268,              0.0003268
                     37,                0.83577,                 1.5611,                 0.8047,                 1.1277,                0.77329,                0.69553,                0.72272,                0.55202,                0.78031,                0.69004,                0.72348,                0.53488,                  1.297,                 2.2604,                 1.3132,                 1.5148,               0.000307,               0.000307,               0.000307
                     38,                0.83224,                 1.5596,                0.79147,                  1.126,                0.77612,                0.69448,                0.72958,                0.56229,                0.76654,                0.68805,                0.72088,                0.54185,                 1.2736,                  2.273,                 1.2861,                 1.4795,              0.0002872,              0.0002872,              0.0002872
                     39,                0.81688,                 1.5375,                0.77892,                 1.1155,                0.73459,                0.69439,                0.72271,                0.55696,                0.75598,                0.67669,                0.71973,                0.54045,                 1.2864,                 2.2877,                 1.2882,                 1.5058,              0.0002674,              0.0002674,              0.0002674
                     40,                0.80815,                 1.5152,                0.75702,                 1.1126,                0.73418,                0.70208,                0.72252,                0.55192,                0.73726,                0.70425,                0.72295,                0.53905,                 1.2954,                  2.314,                 1.2664,                 1.5168,              0.0002476,              0.0002476,              0.0002476
                     41,                0.79156,                 1.4429,                0.68304,                 1.1185,                0.73914,                0.70593,                0.72677,                0.55815,                0.75794,                0.68419,                0.72397,                0.54318,                 1.2752,                 2.2946,                 1.2701,                 1.4891,              0.0002278,              0.0002278,              0.0002278
                     42,                0.76378,                 1.3736,                0.62317,                 1.0966,                0.75319,                0.71003,                0.72991,                0.56431,                0.74354,                0.71054,                0.72624,                0.54746,                 1.2906,                 2.3275,                 1.2703,                 1.5106,               0.000208,               0.000208,               0.000208
                     43,                0.75309,                 1.3562,                0.60277,                 1.0871,                0.75494,                0.68211,                0.71851,                0.56306,                 0.7639,                0.69034,                0.72203,                0.54765,                 1.2712,                 2.3422,                 1.2805,                 1.4968,              0.0001882,              0.0001882,              0.0001882
                     44,                0.72877,                  1.314,                0.57233,                 1.0756,                 0.7459,                0.69094,                0.72706,                0.56109,                0.76265,                0.68981,                0.72146,                0.54639,                  1.279,                 2.3414,                  1.285,                 1.4998,              0.0001684,              0.0001684,              0.0001684
                     45,                0.70939,                 1.2756,                0.53709,                 1.0575,                0.73322,                0.69812,                0.72189,                0.56306,                0.75282,                0.69293,                0.72093,                0.54512,                 1.2752,                 2.3803,                 1.3163,                 1.4965,              0.0001486,              0.0001486,              0.0001486
                     46,                0.70156,                 1.2771,                0.54146,                 1.0478,                0.77307,                0.67435,                0.72177,                0.56507,                0.78356,                 0.6754,                0.71967,                0.55041,                 1.2838,                 2.3579,                 1.3087,                 1.5145,              0.0001288,              0.0001288,              0.0001288
                     47,                0.68323,                 1.2492,                0.51529,                 1.0419,                0.78577,                0.66927,                0.72126,                0.56185,                0.77372,                0.68035,                0.71635,                0.54512,                 1.3011,                 2.3687,                 1.3115,                 1.5389,               0.000109,               0.000109,               0.000109
                     48,                0.67248,                 1.2396,                 0.5026,                 1.0305,                0.73477,                0.70817,                 0.7245,                0.56448,                0.74689,                0.70513,                0.71935,                0.54917,                   1.28,                 2.3523,                 1.3148,                 1.5177,               8.92e-05,               8.92e-05,               8.92e-05
                     49,                0.65621,                 1.2231,                0.49665,                 1.0222,                0.72033,                0.71078,                0.72355,                0.56457,                0.77071,                0.67722,                0.71975,                0.55081,                 1.2895,                  2.373,                 1.3241,                 1.5264,               6.94e-05,               6.94e-05,               6.94e-05
                     50,                0.65412,                 1.2024,                0.48009,                 1.0225,                0.76519,                 0.6883,                0.72546,                0.56795,                 0.7693,                0.69043,                0.72173,                0.55089,                 1.2897,                  2.386,                 1.3095,                 1.5183,               4.96e-05,               4.96e-05,               4.96e-05
